"Section"                        , "Action"                                                        , "Shortcut" , "Enabled"
"Services > Searching"           , "Search With Google"                                            , "⇧⌘L"      , "O"
"Services > Searching"           , "Spotlight"                                                     , "⇧⌘F"      , "X"
"Services > Text"                , "Add to Music as a Spoken Track"                                , "none"     , "O"
"Services > Text"                , "Convert Text to Full Width"                                    , "none"     , "O"
"Services > Text"                , "Convert Text to Half Width"                                    , "none"     , "O"
"Services > Text"                , "Convert Text to Simplified Chinese"                            , "⌃⌥⇧⌘C"    , "O"
"Services > Text"                , "Convert Text to Traditional Chinese"                           , "⌃⇧⌘C"     , "O"
"Services > Text"                , "Find in Xcode"                                                 , "none"     , "X"
"Services > Text"                , "Open Quickly in Xcode"                                         , "none"     , "X"
"Services > Text"                , "Make New Sticky Note"                                          , "⇧⌘Y"      , "O"
"Services > Text"                , "New TextEdit Window Containing Selection"                      , "none"     , "X"
"Services > Text"                , "Open"                                                          , "none"     , "O"
"Services > Text"                , "Show in Finder"                                                , "none"     , "O"
"Services > Text"                , "Show Info in Finder"                                           , "none"     , "O"
"Services > Text"                , "Open man Page in Terminal"                                     , "⇧⌘M"      , "O"
"Services > Text"                , "Search man Page Index in Terminal"                             , "⇧⌘A"      , "O"
"Services > Text"                , "Show Map"                                                      , "none"     , "O"
"Services > Text"                , "Summarize"                                                     , "none"     , "X"
"Spotlight"                      , "Show Spotlight search"                                         , "⌘Space"   , "O"
"Spotlight"                      , "Show Finder search window"                                     , "⌥⌘Space"  , "O"
"Accessibility > Contrast"       , "Increase contrast"                                             , "⌃⌥⌘."     , "X"
"Accessibility > Contrast"       , "Decrease contrast"                                             , "⌃⌥⌘,"     , "X"
"Accessibility > Contrast"       , "Invert colors"                                                 , "⌃⌥⌘8"     , "X"
"Accessibility > Live Captions"  , "Turn Live Captions on or off"                                  , "none"     , "O"
"Accessibility > Live Captions"  , "Turn type to speak on or off"                                  , "none"     , "O"
"Accessibility > Live Captions"  , "Turn keep onscreen on or off"                                  , "none"     , "O"
"Accessibility > Live Captions"  , "Switch between transcribing computer audio and microphone"     , "none"     , "O"
"Accessibility > Live Captions"  , "Pause or resume transcription"                                 , "none"     , "O"
"Accessibility > Live Speech"    , "Turn Live Speech on or off"                                    , "none"     , "O"
"Accessibility > Live Speech"    , "Toggle visibility"                                             , "none"     , "O"
"Accessibility > Live Speech"    , "Pause or resume speech"                                        , "none"     , "O"
"Accessibility > Live Speech"    , "Cancel speech"                                                 , "none"     , "O"
"Accessibility > Live Speech"    , "Hide or show phrases"                                          , "none"     , "O"
"Accessibility > General"        , "Show Accessibility controls"                                   , "⌥⌘F5"     , "O"
"Accessibility > General"        , "Turn speak item under the pointer on or off"                   , "none"     , "O"
"Accessibility > General"        , "Turn speak selection on or off"                                , "none"     , "O"
"Accessibility > General"        , "Turn typing feedback on or off"                                , "none"     , "O"
"Accessibility > General"        , "Turn VoiceOver on or off"                                      , "⌘F5"      , "O"
"Accessibility > Zoom"           , "Turn zoom on or off"                                           , "⌥⌘8"      , "X"
"Accessibility > Zoom"           , "Turn image smoothing on or off"                                , "⌥⌘\\"     , "X"
"Accessibility > Zoom"           , "Zoom out"                                                      , "⌥⌘-"      , "X"
"Accessibility > Zoom"           , "Zoom in"                                                       , "⌥⌘="      , "X"
"Accessibility > Zoom"           , "Turn focus following on or off"                                , "none"     , "X"
"App Shortcuts"                  , "All Applications: Show Help menu"                              , "⇧⌘/"      , "O"
